ip,latitude,longitude,device_type,model,location_label,last_seen,port,org,country,region,poc_batch,trial_profile
10.0.0.12,19.497836,-99.236695,IP Camera,Bosch FLEXIDOME,Mexico City Sector 12,2025-02-08,554,Cloudflare,MX,North America,GLOBAL_500_V2,expired_heavy
10.0.0.13,31.815056,34.647836,Bullet Camera,Axis P5655-E,Tel Aviv Sector 13,2025-11-12,8080,Cloudflare,IL,Middle East,GLOBAL_500_V2,expired_heavy
10.0.0.14,-23.522015,-46.740497,Bullet Camera,Hanwha XNV-8080R,Sao Paulo Sector 14,2025-06-04,8080,Cloudflare,BR,South America,GLOBAL_500_V2,expired_heavy
10.0.0.15,30.225017,30.946493,Bullet Camera,Hanwha XNV-8080R,Cairo Sector 15,2024-09-26,554,Cloudflare,EG,Africa,GLOBAL_500_V2,expired_heavy
10.0.0.16,13.790926,100.471735,PTZ Camera,Bosch FLEXIDOME,Bangkok Sector 16,2026-01-17,554,DigitalOcean,TH,Asia,GLOBAL_500_V2,expired_heavy
10.0.1.17,52.800603,13.122162,Bullet Camera,Hanwha XNV-8080R,Berlin Sector 17,2024-12-07,554,Cloudflare,DE,Europe,GLOBAL_500_V2,expired_heavy
10.0.1.18,43.369923,-79.35974,IP Camera,Hanwha XNV-8080R,Toronto Sector 18,2025-06-21,443,Lumen,CA,North America,GLOBAL_500_V2,expired_heavy
10.0.1.19,19.182424,-98.831821,Dome Camera,Axis P5655-E,Mexico City Sector 19,2026-02-19,554,Lumen,MX,North America,GLOBAL_500_V2,expired_heavy
10.0.1.20,25.050595,55.199957,Dome Camera,Bosch FLEXIDOME,Dubai Sector 20,2025-08-24,554,Cloudflare,AE,Middle East,GLOBAL_500_V2,expired_heavy
10.0.1.21,25.559462,51.358031,Bullet Camera,Dahua SD49425XB,Doha Sector 1,2025-02-14,80,Cloudflare,QA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.1.22,24.810023,46.420413,Bullet Camera,Hanwha XNV-8080R,Riyadh Sector 2,2026-01-07,554,Comcast,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.1.23,25.508166,51.690124,Dome Camera,Dahua SD49425XB,Doha Sector 3,2025-02-05,8080,Lumen,QA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.1.24,52.00978,21.275674,PTZ Camera,Hikvision DS-2CD2085G1,Warsaw Sector 4,2025-10-07,443,Lumen,PL,Europe,GLOBAL_500_V2,expired_heavy
10.0.1.25,24.486485,46.387984,Bullet Camera,Dahua SD49425XB,Riyadh Sector 5,2024-10-26,80,Airtel,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.1.26,24.761749,46.705673,Dome Camera,Hanwha XNV-8080R,Riyadh Sector 6,2025-07-15,8080,Lumen,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.1.27,24.553312,46.882131,IP Camera,Bosch FLEXIDOME,Riyadh Sector 7,2025-01-18,8080,Cloudflare,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.1.28,6.465363,3.214142,Dome Camera,Dahua SD49425XB,Lagos Sector 8,2025-11-19,8080,AT&T,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.1.29,-34.428434,-58.261005,IP Camera,Hanwha XNV-8080R,Buenos Aires Sector 9,2025-10-03,8080,Lumen,AR,South America,GLOBAL_500_V2,expired_heavy
10.0.1.30,48.675886,2.496452,PTZ Camera,Sony SNC-EP580,Paris Sector 10,2024-11-23,80,Lumen,FR,Europe,GLOBAL_500_V2,expired_heavy
10.0.1.31,6.399207,3.57004,PTZ Camera,Dahua SD49425XB,Lagos Sector 11,2025-05-24,554,Lumen,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.1.32,25.08273,51.18278,Bullet Camera,Hanwha XNV-8080R,Doha Sector 12,2025-02-08,443,Lumen,QA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.2.33,33.242006,-7.603068,PTZ Camera,Bosch FLEXIDOME,Casablanca Sector 13,2025-06-10,8080,Airtel,MA,Africa,GLOBAL_500_V2,expired_heavy
10.0.2.34,25.339296,51.526648,Dome Camera,Sony SNC-EP580,Doha Sector 14,2025-01-09,80,Lumen,QA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.2.35,51.322042,-0.048487,IP Camera,Hikvision DS-2CD2085G1,London Sector 15,2024-12-11,554,Cloudflare,GB,Europe,GLOBAL_500_V2,expired_heavy
10.0.2.36,25.351394,51.280243,Dome Camera,Axis P5655-E,Doha Sector 16,2024-12-13,554,Lumen,QA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.2.37,5.456395,0.160679,Bullet Camera,Hikvision DS-2CD2085G1,Accra Sector 17,2025-08-21,8080,Lumen,GH,Africa,GLOBAL_500_V2,expired_heavy
10.0.2.38,-37.824566,145.12412,IP Camera,Axis P5655-E,Melbourne Sector 18,2025-05-29,80,Lumen,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.2.39,-26.097264,27.970455,Dome Camera,Hikvision DS-2CD2085G1,Johannesburg Sector 19,2026-02-18,443,Cloudflare,ZA,Africa,GLOBAL_500_V2,expired_heavy
10.0.2.40,24.788147,46.770603,PTZ Camera,Dahua SD49425XB,Riyadh Sector 20,2025-01-02,443,Verizon,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.2.41,24.607405,46.679398,Bullet Camera,Hikvision DS-2CD2085G1,Riyadh Sector 1,2025-05-13,8080,Cloudflare,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.2.42,52.264458,21.256796,PTZ Camera,Hanwha XNV-8080R,Warsaw Sector 2,2025-07-04,443,Verizon,PL,Europe,GLOBAL_500_V2,expired_heavy
10.0.2.43,-1.56583,36.653011,Bullet Camera,Sony SNC-EP580,Nairobi Sector 3,2025-02-23,8080,Lumen,KE,Africa,GLOBAL_500_V2,expired_heavy
10.0.2.44,19.237767,73.111029,IP Camera,Dahua SD49425XB,Mumbai Sector 4,2024-11-25,80,Airtel,IN,Asia,GLOBAL_500_V2,expired_heavy
10.0.2.45,-23.230283,-46.608283,IP Camera,Dahua SD49425XB,Sao Paulo Sector 5,2024-11-23,554,Cloudflare,BR,South America,GLOBAL_500_V2,expired_heavy
10.0.2.46,35.750567,139.856833,IP Camera,Hikvision DS-2CD2085G1,Tokyo Sector 6,2024-11-15,443,Cloudflare,JP,Asia,GLOBAL_500_V2,expired_heavy
10.0.2.47,24.383959,46.567778,Dome Camera,Axis P5655-E,Riyadh Sector 7,2026-03-09,554,Comcast,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.2.48,19.112511,-99.310765,PTZ Camera,Bosch FLEXIDOME,Mexico City Sector 8,2024-10-07,8080,Verizon,MX,North America,GLOBAL_500_V2,expired_heavy
10.0.3.49,52.514481,21.033599,Bullet Camera,Axis P5655-E,Warsaw Sector 9,2026-02-07,443,Verizon,PL,Europe,GLOBAL_500_V2,expired_heavy
10.0.3.50,4.392977,-74.350572,PTZ Camera,Axis P5655-E,Bogota Sector 10,2025-10-27,8080,Lumen,CO,South America,GLOBAL_500_V2,expired_heavy
10.0.3.51,-26.0998,27.764396,IP Camera,Sony SNC-EP580,Johannesburg Sector 11,2025-08-22,8080,Lumen,ZA,Africa,GLOBAL_500_V2,expired_heavy
10.0.3.52,6.459523,3.536738,Bullet Camera,Sony SNC-EP580,Lagos Sector 12,2025-02-21,554,AT&T,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.3.53,38.931746,-76.973286,PTZ Camera,Axis P5655-E,Washington Sector 13,2025-06-03,8080,AT&T,US,North America,GLOBAL_500_V2,expired_heavy
10.0.3.54,6.25881,3.677727,Dome Camera,Bosch FLEXIDOME,Lagos Sector 14,2025-11-06,443,Airtel,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.3.55,-1.58175,36.763421,Bullet Camera,Axis P5655-E,Nairobi Sector 15,2025-07-07,443,Cloudflare,KE,Africa,GLOBAL_500_V2,expired_heavy
10.0.3.56,41.200651,28.950518,Dome Camera,Dahua SD49425XB,Istanbul Sector 16,2025-05-12,8080,Lumen,TR,Middle East,GLOBAL_500_V2,expired_heavy
10.0.3.57,4.638675,-73.756323,IP Camera,Axis P5655-E,Bogota Sector 17,2025-11-24,80,Lumen,CO,South America,GLOBAL_500_V2,expired_heavy
10.0.3.58,35.570831,139.700931,Dome Camera,Axis P5655-E,Tokyo Sector 18,2024-11-05,80,Cloudflare,JP,Asia,GLOBAL_500_V2,expired_heavy
10.0.3.59,6.852941,3.72159,IP Camera,Bosch FLEXIDOME,Lagos Sector 19,2025-12-27,80,Lumen,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.3.60,19.244503,-99.17409,Dome Camera,Hikvision DS-2CD2085G1,Mexico City Sector 20,2025-04-07,8080,Airtel,MX,North America,GLOBAL_500_V2,expired_heavy
10.0.3.61,-23.520684,-46.566722,Dome Camera,Sony SNC-EP580,Sao Paulo Sector 1,2025-06-01,8080,Cloudflare,BR,South America,GLOBAL_500_V2,expired_heavy
10.0.3.62,43.374767,-79.108452,Dome Camera,Bosch FLEXIDOME,Toronto Sector 2,2024-10-10,443,Lumen,CA,North America,GLOBAL_500_V2,expired_heavy
10.0.3.63,25.290919,55.51694,Bullet Camera,Bosch FLEXIDOME,Dubai Sector 3,2025-09-28,554,DigitalOcean,AE,Middle East,GLOBAL_500_V2,expired_heavy
10.0.3.64,4.934221,-74.002344,Bullet Camera,Hikvision DS-2CD2085G1,Bogota Sector 4,2024-11-28,554,BT,CO,South America,GLOBAL_500_V2,expired_heavy
10.0.4.65,42.061803,12.223071,Dome Camera,Bosch FLEXIDOME,Rome Sector 5,2024-11-30,443,Cloudflare,IT,Europe,GLOBAL_500_V2,expired_heavy
10.0.4.66,-23.892992,-46.577119,Dome Camera,Hanwha XNV-8080R,Sao Paulo Sector 6,2025-07-21,80,Airtel,BR,South America,GLOBAL_500_V2,expired_heavy
10.0.4.67,-23.811043,-46.382183,Bullet Camera,Hikvision DS-2CD2085G1,Sao Paulo Sector 7,2025-07-26,80,Cloudflare,BR,South America,GLOBAL_500_V2,expired_heavy
10.0.4.68,52.432732,13.311855,PTZ Camera,Sony SNC-EP580,Berlin Sector 8,2025-08-11,554,Lumen,DE,Europe,GLOBAL_500_V2,expired_heavy
10.0.4.69,19.504849,-98.880024,Bullet Camera,Hanwha XNV-8080R,Mexico City Sector 9,2025-10-28,80,Comcast,MX,North America,GLOBAL_500_V2,expired_heavy
10.0.4.70,40.877554,28.778565,PTZ Camera,Sony SNC-EP580,Istanbul Sector 10,2025-11-20,443,DigitalOcean,TR,Middle East,GLOBAL_500_V2,expired_heavy
10.0.4.71,-11.85142,-76.770719,IP Camera,Bosch FLEXIDOME,Lima Sector 11,2025-06-16,80,Lumen,PE,South America,GLOBAL_500_V2,expired_heavy
10.0.4.72,41.143657,29.063989,IP Camera,Bosch FLEXIDOME,Istanbul Sector 12,2025-12-03,554,Cloudflare,TR,Middle East,GLOBAL_500_V2,expired_heavy
10.0.4.73,-1.617227,37.166941,IP Camera,Sony SNC-EP580,Nairobi Sector 13,2025-01-01,554,Cloudflare,KE,Africa,GLOBAL_500_V2,expired_heavy
10.0.4.74,43.502503,-79.034061,Dome Camera,Axis P5655-E,Toronto Sector 14,2025-03-01,443,Cloudflare,CA,North America,GLOBAL_500_V2,expired_heavy
10.0.4.75,-34.404952,-58.143986,PTZ Camera,Sony SNC-EP580,Buenos Aires Sector 15,2024-12-08,554,Cloudflare,AR,South America,GLOBAL_500_V2,expired_heavy
10.0.4.76,-34.099965,151.480868,Dome Camera,Hikvision DS-2CD2085G1,Sydney Sector 16,2025-05-15,80,Airtel,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.4.77,25.545703,51.430866,PTZ Camera,Bosch FLEXIDOME,Doha Sector 17,2025-01-22,443,Cloudflare,QA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.4.78,4.679192,-74.217073,PTZ Camera,Sony SNC-EP580,Bogota Sector 18,2025-07-02,443,Verizon,CO,South America,GLOBAL_500_V2,expired_heavy
10.0.4.79,-37.821052,144.660713,IP Camera,Hanwha XNV-8080R,Melbourne Sector 19,2025-11-06,554,Lumen,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.4.80,35.341889,139.720594,IP Camera,Dahua SD49425XB,Tokyo Sector 20,2025-06-03,80,Cloudflare,JP,Asia,GLOBAL_500_V2,expired_heavy
10.0.5.81,-34.792531,-58.527183,IP Camera,Sony SNC-EP580,Buenos Aires Sector 1,2024-11-20,8080,DigitalOcean,AR,South America,GLOBAL_500_V2,expired_heavy
10.0.5.82,25.216941,55.440481,PTZ Camera,Axis P5655-E,Dubai Sector 2,2025-02-14,80,Lumen,AE,Middle East,GLOBAL_500_V2,expired_heavy
10.0.5.83,19.352244,-99.032576,PTZ Camera,Bosch FLEXIDOME,Mexico City Sector 3,2024-12-04,8080,Lumen,MX,North America,GLOBAL_500_V2,expired_heavy
10.0.5.84,-23.681256,-46.886795,Dome Camera,Sony SNC-EP580,Sao Paulo Sector 4,2025-07-05,80,Cloudflare,BR,South America,GLOBAL_500_V2,expired_heavy
10.0.5.85,6.665241,3.626378,Bullet Camera,Sony SNC-EP580,Lagos Sector 5,2025-02-17,8080,Cloudflare,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.5.86,6.477508,3.530525,Dome Camera,Dahua SD49425XB,Lagos Sector 6,2026-03-11,443,Lumen,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.5.87,-37.830539,145.154598,IP Camera,Dahua SD49425XB,Melbourne Sector 7,2024-12-02,80,Cloudflare,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.5.88,19.028485,72.745604,PTZ Camera,Sony SNC-EP580,Mumbai Sector 8,2024-12-25,554,Lumen,IN,Asia,GLOBAL_500_V2,expired_heavy
10.0.5.89,-1.248098,36.679767,Bullet Camera,Hanwha XNV-8080R,Nairobi Sector 9,2024-11-01,443,Lumen,KE,Africa,GLOBAL_500_V2,expired_heavy
10.0.5.90,30.377859,31.449358,Dome Camera,Hanwha XNV-8080R,Cairo Sector 10,2025-11-24,80,Lumen,EG,Africa,GLOBAL_500_V2,expired_heavy
10.0.5.91,6.26275,3.573003,Bullet Camera,Sony SNC-EP580,Lagos Sector 11,2026-01-21,80,Comcast,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.5.92,40.719765,28.912387,IP Camera,Bosch FLEXIDOME,Istanbul Sector 12,2025-01-20,554,Lumen,TR,Middle East,GLOBAL_500_V2,expired_heavy
10.0.5.93,41.791585,12.816311,PTZ Camera,Hikvision DS-2CD2085G1,Rome Sector 13,2025-02-21,8080,Lumen,IT,Europe,GLOBAL_500_V2,expired_heavy
10.0.5.94,38.833218,-77.251322,IP Camera,Dahua SD49425XB,Washington Sector 14,2025-07-17,80,Cloudflare,US,North America,GLOBAL_500_V2,expired_heavy
10.0.5.95,-31.804384,115.988642,IP Camera,Hanwha XNV-8080R,Perth Sector 15,2025-11-09,8080,Cloudflare,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.5.96,24.819719,46.509168,PTZ Camera,Hanwha XNV-8080R,Riyadh Sector 16,2025-11-22,443,DigitalOcean,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.6.97,33.424988,-7.254449,IP Camera,Dahua SD49425XB,Casablanca Sector 17,2024-10-07,8080,Verizon,MA,Africa,GLOBAL_500_V2,expired_heavy
10.0.6.98,19.234966,-99.406561,PTZ Camera,Bosch FLEXIDOME,Mexico City Sector 18,2025-12-07,443,Cloudflare,MX,North America,GLOBAL_500_V2,expired_heavy
10.0.6.99,-34.06017,151.218509,Bullet Camera,Bosch FLEXIDOME,Sydney Sector 19,2024-11-05,443,Airtel,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.6.100,28.913772,77.099083,IP Camera,Dahua SD49425XB,Delhi Sector 20,2024-12-09,554,Cloudflare,IN,Asia,GLOBAL_500_V2,expired_heavy
10.0.6.101,24.977773,46.974871,Dome Camera,Hikvision DS-2CD2085G1,Riyadh Sector 1,2024-11-07,80,Cloudflare,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.6.102,-1.495108,36.949544,Bullet Camera,Hanwha XNV-8080R,Nairobi Sector 2,2024-10-10,8080,Lumen,KE,Africa,GLOBAL_500_V2,expired_heavy
10.0.6.103,33.632411,-7.579507,IP Camera,Hikvision DS-2CD2085G1,Casablanca Sector 3,2025-10-18,443,Comcast,MA,Africa,GLOBAL_500_V2,expired_heavy
10.0.6.104,19.42573,72.925652,Dome Camera,Sony SNC-EP580,Mumbai Sector 4,2024-11-19,80,Cloudflare,IN,Asia,GLOBAL_500_V2,expired_heavy
10.0.6.105,48.702066,2.164645,Bullet Camera,Axis P5655-E,Paris Sector 5,2025-10-30,443,Lumen,FR,Europe,GLOBAL_500_V2,expired_heavy
10.0.6.106,41.778226,12.61932,Dome Camera,Bosch FLEXIDOME,Rome Sector 6,2025-05-29,8080,Cloudflare,IT,Europe,GLOBAL_500_V2,expired_heavy
10.0.6.107,5.564592,-0.30584,PTZ Camera,Sony SNC-EP580,Accra Sector 7,2024-10-16,80,Lumen,GH,Africa,GLOBAL_500_V2,expired_heavy
10.0.6.108,30.205531,31.296996,IP Camera,Dahua SD49425XB,Cairo Sector 8,2025-07-23,8080,Cloudflare,EG,Africa,GLOBAL_500_V2,expired_heavy
10.0.6.109,38.900701,-77.386853,IP Camera,Dahua SD49425XB,Washington Sector 9,2025-12-02,80,Lumen,US,North America,GLOBAL_500_V2,expired_heavy
10.0.6.110,-34.675681,-58.107928,IP Camera,Bosch FLEXIDOME,Buenos Aires Sector 10,2025-12-07,443,AT&T,AR,South America,GLOBAL_500_V2,expired_heavy
10.0.6.111,52.408558,21.020066,PTZ Camera,Bosch FLEXIDOME,Warsaw Sector 11,2025-10-16,80,Cloudflare,PL,Europe,GLOBAL_500_V2,expired_heavy
10.0.6.112,-38.065984,144.755751,IP Camera,Hikvision DS-2CD2085G1,Melbourne Sector 12,2025-06-06,8080,Lumen,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.7.113,14.086952,100.843575,Bullet Camera,Sony SNC-EP580,Bangkok Sector 13,2024-12-11,554,Lumen,TH,Asia,GLOBAL_500_V2,expired_heavy
10.0.7.114,49.091367,2.440712,PTZ Camera,Hikvision DS-2CD2085G1,Paris Sector 14,2024-11-26,554,Lumen,FR,Europe,GLOBAL_500_V2,expired_heavy
10.0.7.115,-33.590049,151.39402,PTZ Camera,Sony SNC-EP580,Sydney Sector 15,2025-09-02,443,BT,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.7.116,52.273818,21.362103,PTZ Camera,Bosch FLEXIDOME,Warsaw Sector 16,2024-09-29,80,Lumen,PL,Europe,GLOBAL_500_V2,expired_heavy
10.0.7.117,5.350748,-0.398182,IP Camera,Bosch FLEXIDOME,Accra Sector 17,2024-11-18,554,Cloudflare,GH,Africa,GLOBAL_500_V2,expired_heavy
10.0.7.118,40.906188,-74.03821,IP Camera,Bosch FLEXIDOME,New York Sector 18,2025-04-05,443,DigitalOcean,US,North America,GLOBAL_500_V2,expired_heavy
10.0.7.119,-26.412735,28.158023,Bullet Camera,Sony SNC-EP580,Johannesburg Sector 19,2025-06-28,8080,Comcast,ZA,Africa,GLOBAL_500_V2,expired_heavy
10.0.7.120,19.29626,-98.888142,IP Camera,Bosch FLEXIDOME,Mexico City Sector 20,2025-01-31,8080,Cloudflare,MX,North America,GLOBAL_500_V2,expired_heavy
10.0.7.121,31.829961,34.99893,PTZ Camera,Axis P5655-E,Tel Aviv Sector 1,2025-10-23,443,Lumen,IL,Middle East,GLOBAL_500_V2,expired_heavy
10.0.7.122,32.214231,34.965144,Bullet Camera,Hanwha XNV-8080R,Tel Aviv Sector 2,2025-05-12,443,Lumen,IL,Middle East,GLOBAL_500_V2,expired_heavy
10.0.7.123,-23.379513,-46.97937,Dome Camera,Axis P5655-E,Sao Paulo Sector 3,2025-09-27,8080,Lumen,BR,South America,GLOBAL_500_V2,expired_heavy
10.0.7.124,40.969143,-73.893702,Dome Camera,Hikvision DS-2CD2085G1,New York Sector 4,2025-07-25,8080,Cloudflare,US,North America,GLOBAL_500_V2,expired_heavy
10.0.7.125,-34.206139,151.314454,Bullet Camera,Hanwha XNV-8080R,Sydney Sector 5,2025-08-21,8080,Verizon,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.7.126,-34.351622,-58.418094,Bullet Camera,Sony SNC-EP580,Buenos Aires Sector 6,2025-10-09,554,Cloudflare,AR,South America,GLOBAL_500_V2,expired_heavy
10.0.7.127,52.258644,20.96751,Dome Camera,Sony SNC-EP580,Warsaw Sector 7,2024-12-11,80,Cloudflare,PL,Europe,GLOBAL_500_V2,expired_heavy
10.0.7.128,24.507552,46.850569,IP Camera,Axis P5655-E,Riyadh Sector 8,2025-04-12,80,Cloudflare,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.8.129,43.448717,-79.357307,IP Camera,Axis P5655-E,Toronto Sector 9,2026-03-03,554,Cloudflare,CA,North America,GLOBAL_500_V2,expired_heavy
10.0.8.130,43.851162,-79.62075,IP Camera,Hanwha XNV-8080R,Toronto Sector 10,2025-01-07,554,Lumen,CA,North America,GLOBAL_500_V2,expired_heavy
10.0.8.131,19.359074,-99.42601,IP Camera,Sony SNC-EP580,Mexico City Sector 11,2025-02-01,8080,Cloudflare,MX,North America,GLOBAL_500_V2,expired_heavy
10.0.8.132,-12.091525,-76.809559,PTZ Camera,Axis P5655-E,Lima Sector 12,2025-06-29,554,Cloudflare,PE,South America,GLOBAL_500_V2,expired_heavy
10.0.8.133,28.412552,77.035323,Dome Camera,Hikvision DS-2CD2085G1,Delhi Sector 13,2026-01-06,8080,Lumen,IN,Asia,GLOBAL_500_V2,expired_heavy
10.0.8.134,5.862849,-0.293344,PTZ Camera,Sony SNC-EP580,Accra Sector 14,2026-01-30,8080,Lumen,GH,Africa,GLOBAL_500_V2,expired_heavy
10.0.8.135,-23.376568,-46.299909,IP Camera,Hanwha XNV-8080R,Sao Paulo Sector 15,2025-02-21,80,Lumen,BR,South America,GLOBAL_500_V2,expired_heavy
10.0.8.136,-32.208089,115.715494,Bullet Camera,Dahua SD49425XB,Perth Sector 16,2025-05-03,8080,Cloudflare,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.8.137,38.832778,-77.086821,PTZ Camera,Sony SNC-EP580,Washington Sector 17,2025-07-23,80,Lumen,US,North America,GLOBAL_500_V2,expired_heavy
10.0.8.138,-23.897006,-46.840364,Bullet Camera,Hikvision DS-2CD2085G1,Sao Paulo Sector 18,2025-07-03,8080,Lumen,BR,South America,GLOBAL_500_V2,expired_heavy
10.0.8.139,37.780166,126.872195,Bullet Camera,Hikvision DS-2CD2085G1,Seoul Sector 19,2025-11-03,8080,Cloudflare,KR,Asia,GLOBAL_500_V2,expired_heavy
10.0.8.140,33.657394,-7.717514,IP Camera,Sony SNC-EP580,Casablanca Sector 20,2025-02-11,443,Lumen,MA,Africa,GLOBAL_500_V2,expired_heavy
10.0.8.141,-6.155793,107.185463,IP Camera,Hikvision DS-2CD2085G1,Jakarta Sector 1,2025-01-28,80,Lumen,ID,Asia,GLOBAL_500_V2,expired_heavy
10.0.8.142,35.952381,139.647051,PTZ Camera,Dahua SD49425XB,Tokyo Sector 2,2025-04-12,554,Cloudflare,JP,Asia,GLOBAL_500_V2,expired_heavy
10.0.8.143,24.626998,47.018435,PTZ Camera,Axis P5655-E,Riyadh Sector 3,2025-04-25,8080,Lumen,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.8.144,6.295249,3.113935,Dome Camera,Hanwha XNV-8080R,Lagos Sector 4,2025-04-08,80,BT,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.9.145,5.564498,0.11689,IP Camera,Sony SNC-EP580,Accra Sector 5,2025-03-07,80,Cloudflare,GH,Africa,GLOBAL_500_V2,expired_heavy
10.0.9.146,24.691946,46.914723,PTZ Camera,Hikvision DS-2CD2085G1,Riyadh Sector 6,2025-04-24,8080,Comcast,SA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.9.147,-33.997726,151.195401,Dome Camera,Hikvision DS-2CD2085G1,Sydney Sector 7,2025-02-02,554,Cloudflare,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.9.148,42.186056,12.577716,IP Camera,Dahua SD49425XB,Rome Sector 8,2025-10-02,8080,Lumen,IT,Europe,GLOBAL_500_V2,expired_heavy
10.0.9.149,40.422543,-74.286051,IP Camera,Dahua SD49425XB,New York Sector 9,2025-11-01,554,Lumen,US,North America,GLOBAL_500_V2,expired_heavy
10.0.9.150,52.361119,13.488269,IP Camera,Sony SNC-EP580,Berlin Sector 10,2025-02-23,8080,Cloudflare,DE,Europe,GLOBAL_500_V2,expired_heavy
10.0.9.151,42.191828,12.4597,Bullet Camera,Hikvision DS-2CD2085G1,Rome Sector 11,2025-05-21,443,Cloudflare,IT,Europe,GLOBAL_500_V2,expired_heavy
10.0.9.152,24.912232,55.39969,IP Camera,Bosch FLEXIDOME,Dubai Sector 12,2024-09-28,554,Lumen,AE,Middle East,GLOBAL_500_V2,expired_heavy
10.0.9.153,-1.180273,37.013663,Bullet Camera,Axis P5655-E,Nairobi Sector 13,2025-04-25,8080,Cloudflare,KE,Africa,GLOBAL_500_V2,expired_heavy
10.0.9.154,40.694614,-73.680147,PTZ Camera,Hikvision DS-2CD2085G1,New York Sector 14,2026-02-14,554,Cloudflare,US,North America,GLOBAL_500_V2,expired_heavy
10.0.9.155,28.656298,77.078051,PTZ Camera,Dahua SD49425XB,Delhi Sector 15,2025-01-24,80,Cloudflare,IN,Asia,GLOBAL_500_V2,expired_heavy
