ip,latitude,longitude,device_type,model,location_label,last_seen,port,org,country,region,poc_batch,trial_profile
10.0.3.59,25.26737,51.823312,Bullet Camera,Axis P5655-E,Doha Sector 19,2025-12-09,8080,DigitalOcean,QA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.3.60,43.908753,-78.998802,IP Camera,Dahua SD49425XB,Toronto Sector 20,2026-01-06,443,AT&T,CA,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.3.61,1.075591,104.191006,PTZ Camera,Hanwha XNV-8080R,Singapore Sector 1,2025-05-08,8080,BT,SG,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.3.62,32.050094,34.611827,Bullet Camera,Dahua SD49425XB,Tel Aviv Sector 2,2025-07-25,8080,Airtel,IL,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.3.63,5.282035,-0.322692,Bullet Camera,Bosch FLEXIDOME,Accra Sector 3,2025-05-18,8080,DigitalOcean,GH,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.3.64,19.460744,-98.794951,IP Camera,Hanwha XNV-8080R,Mexico City Sector 4,2025-09-29,554,Airtel,MX,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.4.65,-12.240163,-76.834625,IP Camera,Hikvision DS-2CD2085G1,Lima Sector 5,2025-11-18,554,Verizon,PE,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.4.66,19.473276,72.811461,IP Camera,Dahua SD49425XB,Mumbai Sector 6,2025-10-23,443,AT&T,IN,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.4.67,1.41452,104.05765,Dome Camera,Bosch FLEXIDOME,Singapore Sector 7,2025-08-29,8080,DigitalOcean,SG,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.4.68,28.372636,77.560082,IP Camera,Axis P5655-E,Delhi Sector 8,2025-10-22,8080,BT,IN,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.4.69,25.378857,55.557479,Bullet Camera,Sony SNC-EP580,Dubai Sector 9,2025-04-21,8080,DigitalOcean,AE,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.4.70,39.180323,-77.300222,Dome Camera,Dahua SD49425XB,Washington Sector 10,2025-07-22,8080,Airtel,US,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.4.71,51.816362,-0.267269,Dome Camera,Hikvision DS-2CD2085G1,London Sector 11,2026-01-03,8080,Lumen,GB,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.4.72,24.984805,55.363189,Dome Camera,Hikvision DS-2CD2085G1,Dubai Sector 12,2026-02-12,554,BT,AE,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.4.73,24.690016,46.942449,Bullet Camera,Bosch FLEXIDOME,Riyadh Sector 13,2024-12-30,554,DigitalOcean,SA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.4.74,25.355563,51.76579,Bullet Camera,Axis P5655-E,Doha Sector 14,2025-10-10,8080,BT,QA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.4.75,52.378461,13.07883,Bullet Camera,Hikvision DS-2CD2085G1,Berlin Sector 15,2025-04-22,80,BT,DE,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.4.76,-23.439187,-46.653727,IP Camera,Dahua SD49425XB,Sao Paulo Sector 16,2025-06-15,554,BT,BR,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.4.77,19.107848,-99.406118,Bullet Camera,Sony SNC-EP580,Mexico City Sector 17,2026-03-10,80,BT,MX,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.4.78,35.543052,139.845213,Dome Camera,Hanwha XNV-8080R,Tokyo Sector 18,2025-08-11,8080,BT,JP,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.4.79,24.953616,54.878768,PTZ Camera,Hikvision DS-2CD2085G1,Dubai Sector 19,2026-02-16,554,BT,AE,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.4.80,37.627475,127.212275,IP Camera,Dahua SD49425XB,Seoul Sector 20,2025-04-26,80,Airtel,KR,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.5.81,51.264044,-0.020741,IP Camera,Axis P5655-E,London Sector 1,2025-11-29,554,Cloudflare,GB,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.5.82,40.554585,-73.650608,PTZ Camera,Dahua SD49425XB,New York Sector 2,2026-01-08,554,DigitalOcean,US,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.5.83,-23.775825,-46.331656,IP Camera,Sony SNC-EP580,Sao Paulo Sector 3,2024-10-16,554,BT,BR,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.5.84,24.683448,46.319708,Bullet Camera,Dahua SD49425XB,Riyadh Sector 4,2025-10-06,8080,Airtel,SA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.5.85,-36.56918,175.137767,IP Camera,Dahua SD49425XB,Auckland Sector 5,2025-08-15,8080,Airtel,NZ,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.5.86,-37.663421,144.642433,Dome Camera,Hikvision DS-2CD2085G1,Melbourne Sector 6,2025-05-25,8080,BT,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.5.87,37.191726,127.368658,Bullet Camera,Axis P5655-E,Seoul Sector 7,2024-11-27,8080,Airtel,KR,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.5.88,5.429799,-0.537672,PTZ Camera,Axis P5655-E,Accra Sector 8,2025-05-11,8080,Airtel,GH,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.5.89,-23.607676,-46.921264,Bullet Camera,Dahua SD49425XB,Sao Paulo Sector 9,2025-06-15,554,Airtel,BR,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.5.90,-12.176921,-76.784829,PTZ Camera,Hanwha XNV-8080R,Lima Sector 10,2025-07-24,554,Airtel,PE,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.5.91,28.976332,76.815251,IP Camera,Hanwha XNV-8080R,Delhi Sector 11,2024-10-03,554,BT,IN,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.5.92,39.008478,-77.215786,Bullet Camera,Bosch FLEXIDOME,Washington Sector 12,2025-10-29,8080,Airtel,US,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.5.93,-12.01382,-76.843586,Dome Camera,Hikvision DS-2CD2085G1,Lima Sector 13,2025-10-26,554,Airtel,PE,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.5.94,4.592922,-73.926088,PTZ Camera,Bosch FLEXIDOME,Bogota Sector 14,2026-01-07,554,DigitalOcean,CO,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.5.95,41.329363,29.227625,IP Camera,Sony SNC-EP580,Istanbul Sector 15,2026-02-08,8080,Airtel,TR,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.5.96,-6.102255,106.660452,PTZ Camera,Sony SNC-EP580,Jakarta Sector 16,2025-06-05,554,BT,ID,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.6.97,6.472567,3.748499,IP Camera,Hikvision DS-2CD2085G1,Lagos Sector 17,2025-04-27,8080,BT,NG,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.6.98,35.788918,139.636382,PTZ Camera,Axis P5655-E,Tokyo Sector 18,2025-06-16,554,Comcast,JP,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.6.99,-38.052007,144.680476,IP Camera,Axis P5655-E,Melbourne Sector 19,2025-08-21,80,BT,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.6.100,52.838806,13.741777,PTZ Camera,Sony SNC-EP580,Berlin Sector 20,2025-10-11,8080,BT,DE,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.6.101,-38.167972,145.357179,Dome Camera,Hanwha XNV-8080R,Melbourne Sector 1,2025-10-12,554,DigitalOcean,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.6.102,-34.06161,151.41723,Dome Camera,Sony SNC-EP580,Sydney Sector 2,2025-05-09,554,DigitalOcean,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.6.103,40.454412,-74.121791,PTZ Camera,Bosch FLEXIDOME,New York Sector 3,2025-10-12,443,DigitalOcean,US,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.6.104,-23.742851,-46.925515,Bullet Camera,Bosch FLEXIDOME,Sao Paulo Sector 4,2025-06-18,8080,BT,BR,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.6.105,41.240365,29.216401,Dome Camera,Hanwha XNV-8080R,Istanbul Sector 5,2025-06-16,554,Verizon,TR,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.6.106,38.661867,-77.293498,Bullet Camera,Dahua SD49425XB,Washington Sector 6,2025-10-09,554,BT,US,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.6.107,44.042336,-79.024031,IP Camera,Dahua SD49425XB,Toronto Sector 7,2025-12-31,554,DigitalOcean,CA,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.6.108,41.25916,28.937312,Bullet Camera,Axis P5655-E,Istanbul Sector 8,2025-10-19,554,Comcast,TR,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.6.109,31.862985,34.782216,Dome Camera,Bosch FLEXIDOME,Tel Aviv Sector 9,2025-11-10,80,DigitalOcean,IL,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.6.110,-32.222556,115.922186,IP Camera,Sony SNC-EP580,Perth Sector 10,2025-06-23,8080,BT,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.6.111,33.876891,-7.252974,PTZ Camera,Axis P5655-E,Casablanca Sector 11,2025-10-29,8080,BT,MA,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.6.112,-37.854096,144.600962,Dome Camera,Bosch FLEXIDOME,Melbourne Sector 12,2025-11-01,8080,DigitalOcean,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.7.113,24.926476,51.469288,Dome Camera,Dahua SD49425XB,Doha Sector 13,2026-02-22,8080,Cloudflare,QA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.7.114,-34.394056,-58.427151,Bullet Camera,Axis P5655-E,Buenos Aires Sector 14,2025-02-20,8080,Lumen,AR,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.7.115,-36.847315,174.755131,Bullet Camera,Sony SNC-EP580,Auckland Sector 15,2025-12-05,443,DigitalOcean,NZ,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.7.116,1.245618,103.845929,Dome Camera,Axis P5655-E,Singapore Sector 16,2025-04-12,80,Verizon,SG,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.7.117,48.651524,2.317314,Bullet Camera,Dahua SD49425XB,Paris Sector 17,2025-10-07,554,BT,FR,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.7.118,-26.229554,27.878546,Dome Camera,Hanwha XNV-8080R,Johannesburg Sector 18,2025-08-23,8080,Airtel,ZA,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.7.119,30.103158,31.265677,Bullet Camera,Sony SNC-EP580,Cairo Sector 19,2026-03-10,554,Airtel,EG,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.7.120,13.393051,100.696159,Bullet Camera,Hikvision DS-2CD2085G1,Bangkok Sector 20,2025-11-30,554,DigitalOcean,TH,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.7.121,-5.988673,107.158903,IP Camera,Bosch FLEXIDOME,Jakarta Sector 1,2025-11-06,554,Airtel,ID,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.7.122,-34.021053,151.229841,Bullet Camera,Hanwha XNV-8080R,Sydney Sector 2,2025-07-09,8080,Lumen,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.7.123,4.915031,-73.98967,Bullet Camera,Sony SNC-EP580,Bogota Sector 3,2026-02-04,8080,DigitalOcean,CO,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.7.124,14.018344,100.17032,IP Camera,Hikvision DS-2CD2085G1,Bangkok Sector 4,2025-11-04,8080,DigitalOcean,TH,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.7.125,4.772592,-74.046128,IP Camera,Dahua SD49425XB,Bogota Sector 5,2026-01-28,8080,DigitalOcean,CO,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.7.126,19.264822,72.67709,Dome Camera,Bosch FLEXIDOME,Mumbai Sector 6,2025-11-26,8080,BT,IN,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.7.127,31.92035,34.877347,PTZ Camera,Hanwha XNV-8080R,Tel Aviv Sector 7,2025-11-27,554,Comcast,IL,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.7.128,43.768034,-79.742051,IP Camera,Dahua SD49425XB,Toronto Sector 8,2026-01-08,554,Airtel,CA,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.8.129,1.305661,103.649087,PTZ Camera,Axis P5655-E,Singapore Sector 9,2025-10-26,80,DigitalOcean,SG,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.8.130,32.426855,34.587266,PTZ Camera,Bosch FLEXIDOME,Tel Aviv Sector 10,2025-11-11,554,Airtel,IL,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.8.131,-6.27439,106.771058,IP Camera,Hikvision DS-2CD2085G1,Jakarta Sector 11,2025-10-30,554,Airtel,ID,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.8.132,-37.239402,174.561767,Bullet Camera,Dahua SD49425XB,Auckland Sector 12,2025-08-02,8080,BT,NZ,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.8.133,5.686531,0.179284,Bullet Camera,Hikvision DS-2CD2085G1,Accra Sector 13,2025-10-23,80,BT,GH,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.8.134,51.506472,-0.194928,IP Camera,Bosch FLEXIDOME,London Sector 14,2026-01-05,8080,Cloudflare,GB,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.8.135,5.390654,0.185693,IP Camera,Sony SNC-EP580,Accra Sector 15,2025-05-25,554,Airtel,GH,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.8.136,-36.675778,174.555151,Dome Camera,Sony SNC-EP580,Auckland Sector 16,2025-08-28,80,DigitalOcean,NZ,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.8.137,-34.392971,-58.73271,PTZ Camera,Hikvision DS-2CD2085G1,Buenos Aires Sector 17,2024-11-09,8080,DigitalOcean,AR,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.8.138,43.61182,-79.714589,PTZ Camera,Hanwha XNV-8080R,Toronto Sector 18,2026-01-22,554,Airtel,CA,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.8.139,43.852422,-79.363271,IP Camera,Hanwha XNV-8080R,Toronto Sector 19,2026-02-08,554,Lumen,CA,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.8.140,51.191947,0.000297,Bullet Camera,Dahua SD49425XB,London Sector 20,2025-10-22,554,Airtel,GB,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.8.141,19.259282,-99.520981,IP Camera,Hikvision DS-2CD2085G1,Mexico City Sector 1,2025-11-17,554,DigitalOcean,MX,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.8.142,24.906023,51.459882,Dome Camera,Hikvision DS-2CD2085G1,Doha Sector 2,2025-07-22,8080,Airtel,QA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.8.143,24.907584,51.328163,IP Camera,Hikvision DS-2CD2085G1,Doha Sector 3,2025-04-05,554,BT,QA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.8.144,-36.567229,174.635248,PTZ Camera,Sony SNC-EP580,Auckland Sector 4,2025-04-25,8080,DigitalOcean,NZ,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.9.145,52.687747,13.461188,Bullet Camera,Sony SNC-EP580,Berlin Sector 5,2026-03-03,443,Airtel,DE,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.9.146,-36.899427,174.452554,Bullet Camera,Hanwha XNV-8080R,Auckland Sector 6,2026-01-17,554,BT,NZ,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.9.147,40.67617,-3.890995,IP Camera,Sony SNC-EP580,Madrid Sector 7,2025-08-03,554,BT,ES,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.9.148,32.393104,34.712661,IP Camera,Dahua SD49425XB,Tel Aviv Sector 8,2025-04-10,8080,BT,IL,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.9.149,35.600314,139.284811,Bullet Camera,Dahua SD49425XB,Tokyo Sector 9,2025-11-09,8080,BT,JP,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.9.150,18.816079,72.851272,PTZ Camera,Bosch FLEXIDOME,Mumbai Sector 10,2025-09-30,8080,BT,IN,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.9.151,5.648094,-0.402614,Dome Camera,Bosch FLEXIDOME,Accra Sector 11,2025-11-06,8080,Airtel,GH,Africa,GLOBAL_500_V5,review_stale_global_mix
